,smiles,Formula,FW,DSSTox_CID,SR-HSE,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
908,Oc1ccc(O)cc1,C6H6O2,110.1106,716,0,,1,,,,,,,,,
909,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,C14H20O7,300.3044,28960,0,,0,,,,,,,,,
910,Oc1ccc(OCc2ccccc2)cc1,C13H12O2,200.2332,717,0,,0,,,,,,,,,
911,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,C19H20ClNO,313.8212,23814,0,,0,,,,,,,,,
912,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,C19H25NO,283.4079,3205,0,,0,,,,,,,,,
913,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C21H30O4,346.4605,25642,0,,0,,,,,,,,,
914,CCCCC(=O)O[C@]1(C(=O)CO)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,C27H37FO6,476.5775,2904,0,,0,,,,,,,,,
915,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,C24H31FO6,434.4977,25534,0,,0,,,,,,,,,
916,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,C19H26I3N3O9,821.1379,3157,0,,0,,,,,,,,,
917,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,C21H42O4,358.5558,9160,0,,0,,,,,,,,,
918,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,C36H45NO7,603.7450 (188.1794+415.5656),25798,0,,0,,,,,,,,,
919,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],C16H38Br2N2,418.2943 (258.4852+79.9045+79.9045),2886,0,,0,,,,,,,,,
920,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],C19H28BrNO3,398.3345 (318.4300+79.9045),3109,0,,0,,,,,,,,,
921,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-],C23H30BrNO3,448.3932 (368.4887+79.9045),3519,0,,0,,,,,,,,,
922,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21.[Br-],C21H26BrNO3,420.3400 (340.4355+79.9045),3277,0,,0,,,,,,,,,
923,COC1CC(=C(c2cccs2)c2cccs2)C[N+](C)(C)C1.[Br-],C17H22BrNOS2,400.3967 (79.9045+320.4921),3672,0,,0,,,,,,,,,
924,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCC1.[Br-],C22H29BrN2O,417.3825 (337.4779+79.9045),26484,0,,0,,,,,,,,,
925,O=C(O)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],C23H24BrO2P,443.3132 (363.4087+79.9045),31458,0,,0,,,,,,,,,
926,CC[N+]1(CC)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],C22H28BrNO3,434.3666 (354.4621+79.9045),31401,0,,0,,,,,,,,,
927,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],C21H26BrNO3,420.3400 (340.4355+79.9045),3252,0,,0,,,,,,,,,
928,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],C22H28BrNO3,434.3666 (354.4621+79.9045),3480,0,,0,,,,,,,,,
929,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],C9H13BrN2O2,261.1157 (181.2112+79.9045),3540,0,,0,,,,,,,,,
930,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],C12H19BrN2O2,303.1955 (223.2909+79.9045),21075,0,,0,,,,,,,,,
931,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-],C22H26BrNO3,432.3507 (79.9045+352.4462),2835,0,,0,,,,,,,,,
932,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],C18H24BrNO4,398.2915 (318.3869+79.9045),20608,0,,0,,,,,,,,,
933,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],C21H30BrNO4,440.3712 (360.4667+79.9045),2718,0,,0,,,,,,,,,
934,CCCCCCCC/C=C/C(=O)[O-].CCCCCCCC/C=C/C(=O)[O-].[Ca+2],C22H38CaO4,406.6127 (183.2679+40.0769+183.2679),31685,0,,0,,,,,,,,,
935,C[C@H](C(=O)[O-])c1cccc(Oc2ccccc2)c1.C[C@H](C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2],C30H30CaO8,558.6324 (18.0153+18.0153+40.0769+241.2625+241.2625),25587,0,,0,,,,,,,,,
936,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1.[Cl-].[Cl-],C14H20Cl6N2,429.0400 (35.4535+358.1329+35.4535),26332,0,,1,,,,,,,,,
937,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],C14H30Cl2N2O4,361.3050 (290.3979+35.4535+35.4535),3603,0,,0,,,,,,,,,
938,C[N+](C)(C)CC(=O)O.[Cl-],C5H12ClNO2,153.6073 (118.1537+35.4535),24446,0,,0,,,,,,,,,
939,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],C8H18ClNO2,195.6870 (160.2335+35.4535),3271,0,,0,,,,,,,,,
940,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],C7H17ClN2O2,196.6751 (161.2215+35.4535),2676,0,,0,,,,,,,,,
941,CC(=O)OCC[N+](C)(C)C.[Cl-],C7H16ClNO2,181.6604 (146.2069+35.4535),28904,0,,0,,,,,,,,,
942,C[N+](C)(C)CCOC(N)=O.[Cl-],C6H15ClN2O2,182.6485 (147.1950+35.4535),2730,0,,0,,,,,,,,,
943,CC[N+](C)(C)c1cccc(O)c1.[Cl-],C10H16ClNO,201.6931 (166.2396+35.4535),2978,0,,0,,,,,,,,,
944,CC(C)[N+](C)(C)CC(O)COc1cccc2ccccc12.[Cl-],C18H26ClNO2,323.8575 (288.4040+35.4535),26119,0,,0,,,,,,,,,
945,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],C14H20Cl2N4,315.2414 (243.3269+35.4535+36.4609),25547,0,,0,,,,,,,,,
946,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.Cl.[Cl-],C37H42Cl2N2O6,681.6452 (609.7307+35.4535+36.4609),3727,0,,0,,,,,,,,,
947,Nc1c[n+](N2CCOCC2)no1.[Cl-],C6H11ClN4O2,206.6301 (171.1766+35.4535),28965,0,,0,,,,,,,,,
948,C[n+]1ccccc1/C=N/O.[Cl-],C7H9ClN2O,172.6122 (137.1586+35.4535),3495,0,,0,,,,,,,,,
949,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1.[Cl-],C25H30ClNO3,427.9636 (392.5101+35.4535),3724,0,,0,,,,,,,,,
950,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Fe+3].[Na+],C10H12FeN2NaO8,367.0456 (288.2131+55.8434+22.9892),7774,0,,0,,,,,,,,,
951,CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1.[Gd+3],C17H29GdN4O7,558.6848 (401.4364+157.2484),28588,0,,0,,,,,,,,,
952,CNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NC)CC(=O)[O-])CC(=O)[O-].O.[Gd+3],C16H28GdN5O9,591.6716 (416.4080+157.2484+18.0153),28573,0,,0,,,,,,,,,
953,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-],C30H60I3N3O3,891.5291 (510.8141+126.9050+126.9050+126.9050),3089,0,,0,,,,,,,,,
954,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3.[I-].[I-],C40H48I2N2O6,906.6279 (652.8178+126.9050+126.9050),2944,0,,0,,,,,,,,,
955,C[N+]1(CC2COC(c3ccccc3)(C3CCCCC3)O2)CCCCC1.[I-],C22H34INO2,471.4153 (344.5103+126.9050),26925,0,,0,,,,,,,,,
956,CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1.[I-],C22H30INO,451.3842 (126.9050+324.4792),25781,0,,1,,,,,,,,,
957,C[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1.[I-],C19H24INO3,441.3032 (314.3982+126.9050),26117,0,,0,,,,,,,,,
958,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[K+],C19H15KO4,346.4183 (307.3205+39.0978),22324,0,,0,,,,,,,,,
959,O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],CNa3O5P,191.9508 (22.9892+22.9892+22.9892+122.9831),3078,0,,0,,,,,,,,,
960,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],C4H4Na2O5,178.0511 (132.0727+22.9892+22.9892),26831,0,,0,,,,,,,,,
961,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],C23H14Na2O11,512.3302 (22.9892+22.9892+466.3518),24554,0,,0,,,,,,,,,
962,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)c(C)c3C=C.[Na+].[Na+],C34H32N4Na2O4,606.6218 (560.6434+22.9892+22.9892),26589,0,,1,,,,,,,,,
963,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)([O-])O.[Na+].[Na+],C7H9NNa2O7P2,327.0759 (281.0975+22.9892+22.9892),26132,0,,0,,,,,,,,,
964,CC(O)(P(=O)([O-])O)P(=O)([O-])O.[Na+].[Na+],C2H6Na2O7P2,249.9919 (204.0135+22.9892+22.9892),9671,0,,0,,,,,,,,,
965,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.O.O.O.[Na+].[Na+],C18H22N8Na2O10S3,652.5894 (22.9892+552.5651+22.9892+18.0153+18.0153+18.0153),25887,0,,0,,,,,,,,,
966,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],C17H16N2Na2O6S,422.3633 (376.3848+22.9892+22.9892),25820,0,,0,,,,,,,,,
967,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],C14H13NaO3,252.2410 (22.9892+229.2518),25576,0,,0,,,,,,,,,
968,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+],C25H33NaO8,484.5145 (461.5253+22.9892),28932,0,,0,,,,,,,,,
969,O=C([O-])CCCc1ccccc1.[Na+],C10H11NaO2,186.1829 (163.1937+22.9892),20948,0,,0,,,,,,,,,
970,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12.[Na+],C16H13N2NaO3,304.2758 (281.2866+22.9892),26644,0,,0,,,,,,,,,
971,N#CSCC(=O)[O-].[Na+],C3H2NNaO2S,139.1082 (116.1190+22.9892),31579,0,,0,,,,,,,,,
972,O=S(=O)([O-])CCS.[Na+],C2H5NaO3S2,164.1791 (141.1898+22.9892),809,0,,0,,,,,,,,,
973,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.[Na+],C13H16N3NaO4S,333.3386 (310.3494+22.9892),543,0,,0,,,,,,,,,
974,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],C12H25NaO4S,288.3793 (265.3900+22.9892),6031,0,,0,,,,,,,,,
975,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],C31H35N2NaO11,634.6062 (611.6169+22.9892),3386,0,,0,,,,,,,,,
976,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],C35H35ClNNaO3S,608.1651 (585.1758+22.9892),26450,0,,0,,,,,,,,,
977,CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)[O-])[C@@H]1CC2.[Na+],C20H27NaO5S,402.4801 (22.9892+379.4909),31636,0,,0,,,,,,,,,
978,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)[O-])cc1.[Na+],C27H31N2NaO6S2,566.6646 (543.6754+22.9892),31594,0,,0,,,,,,,,,
979,Cc1ccc(C(=O)C(=O)[O-])cc1C.[Na+],C10H9NaO3,200.1664 (177.1772+22.9892),31626,0,,0,,,,,,,,,
980,Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1.[Na+],C15H13ClNNaO3,313.7114 (290.7222+22.9892),13989,0,,0,,,,,,,,,
981,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[n-]2)c1C.[Na+],C18H20N3NaO3S,381.4245 (358.4352+22.9892),24205,0,,1,,,,,,,,,
982,O.O.O.O.[Na+].[O-]c1ccccc1-c1ccccc1,C12H17NaO5,264.2501 (22.9892+169.1998+18.0153+18.0153+18.0153+18.0153),20794,0,,0,,,,,,,,,
983,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)[O-])cc1.O.O.O.O.[Na+],C20H29N2NaO11S,528.5058 (18.0153+18.0153+18.0153+18.0153+22.9892+433.4555),26727,0,,0,,,,,,,,,
984,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.O.O.O.[Na+],C4H18NNaO10P2,325.1237 (248.0887+22.9892+18.0153+18.0153+18.0153),27778,0,,0,,,,,,,,,
985,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.O.O.[Na+],C15H18NNaO5,315.2969 (18.0153+18.0153+22.9892+256.2771),25594,0,,0,,,,,,,,,
986,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],C17H21N2NaO7S,420.4126 (22.9892+18.0153+379.4081),25835,0,,1,,,,,,,,,
987,O=C([O-])CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1.[Na+],C15H15Cl2N2NaO8,445.1840 (422.1947+22.9892),4747,0,,0,,,,,,,,,
988,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+],C19H17ClN3NaO5S,457.8631 (22.9892+434.8739),25551,0,,0,,,,,,,,,
989,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@H]3C(=O)[O-])c2ccccc2)C(=O)C1=O.[Na+],C23H26N5NaO7S,539.5366 (516.5474+22.9892),28891,0,,0,,,,,,,,,
990,Nc1ccc(C(=O)[O-])c(O)c1.[Na+],C7H6NNaO3,175.1172 (152.1280+22.9892),26066,0,,0,,,,,,,,,
991,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.[Na+],C11H8I3N2NaO4,635.8954 (612.9062+22.9892),31457,0,,0,,,,,,,,,
992,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+],C25H26N9NaO8S2,667.6492 (644.6600+22.9892),25874,0,,0,,,,,,,,,
993,CCCC(C)C1(CC)C(=O)N=C([S-])NC1=O.[Na+],C11H17N2NaO2S,264.3196 (241.3304+22.9892),1744,0,,0,,,,,,,,,
994,O=c1[n-]c2[nH]c(=O)[nH]c(=O)c2[nH]1.[Na+],C5H3N4NaO3,190.0921 (167.1029+22.9892),26828,0,,0,,,,,,,,,
995,COCCOc1cccc(S(=O)(=O)[N-]c2ncccn2)c1.[Na+],C13H14N3NaO4S,331.3227 (308.3335+22.9892),31390,0,,0,,,,,,,,,
996,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,C9H10ClN5O2,255.6610,12442,0,,0,,,,,,,,,
997,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,C13H22N4O3S,314.4038,25191,0,,0,,,,,,,,,
998,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,C19H15NO6,353.3255,2541,0,,0,,,,,,,,,
999,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,C16H13N3O3,295.2927,3369,0,,0,,,,,,,,,
1000,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,C15H11N3O3,281.2661,3372,0,,0,,,,,,,,,
1001,O=[N+]([O-])c1cncn1CCN1CCOCC1,C9H14N4O3,226.2325,31584,0,,0,,,,,,,,,
1002,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],C6H8N2O8,236.1363,25832,0,,0,,,,,,,,,
1003,C[N+]([O-])(CCCl)CCCl,C5H11Cl2NO,172.0529,976,0,,0,,,,,,,,,
1004,O=C(O)c1ccc[n+]([O-])c1,C6H5NO3,139.1088,26543,0,,0,,,,,,,,,
1005,[O-][n+]1cccc(CO)c1,C6H7NO2,125.1253,26569,0,,0,,,,,,,,,
1006,C[NH+](C)CCC(c1ccccc1)c1cccc[nH+]1.O=C([O-])/C=C\C(=O)[O-],C20H24N2O4,356.4156 (242.3582+114.0574),5866,0,,0,,,,,,,,,
1007,COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,C21H27NO4S,389.5084 (111.0977+278.4107),2948,0,,0,,,,,,,,,
1008,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],C16H30O4Zn,351.8160 (143.2040+143.2040+65.4079),22517,0,,0,,,,,,,,,
1009,Br.COc1c2c(cc3c1OCO3)CCN(C)C2,C12H16BrNO3,302.1643 (221.2524+80.9119),25392,0,,0,,,,,,,,,
1010,Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,C16H22BrNO3,356.2548 (275.3428+80.9119),25099,0,,0,,,,,,,,,
1011,Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,C17H22BrNO4,384.2649 (303.3529+80.9119),12029,0,,0,,,,,,,,,
1012,O=c1[nH]c(=O)n([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C\Br,C11H13BrN2O6,349.1347,31616,0,,0,,,,,,,,,
1013,FC(F)(F)C(Cl)Br,C2HBrClF3,197.3815,5371,0,,0,,,,,,,,,
1014,Nc1nc(=O)c(Br)c(-c2ccccc2)[nH]1,C10H8BrN3O,266.0940,26803,0,,0,,,,,,,,,
1015,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,C9H11BrN2O5,307.0980,13105,0,,0,,,,,,,,,
1016,CCNC(=O)/C=C/c1cccc(Br)c1,C11H12BrNO,254.1231,26417,0,,0,,,,,,,,,
1017,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,C24H26BrN3O3,484.3855,25607,0,,0,,,,,,,,,
1018,Brc1c(NC2=NCCN2)ccc2nccnc12,C11H10BrN5,292.1346,25221,0,,0,,,,,,,,,
1019,O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,C17H11BrClFN2O4,441.6356,27296,0,,0,,,,,,,,,
1020,C#CC(O)(/C=C\Cl)CC,C7H9ClO,144.5988,3010,0,,0,,,,,,,,,
1021,c1ccc(OCc2ccc(CCCN3CCOCC3)cc2)cc1,C20H25NO2,311.4180,26222,0,,1,,,,,,,,,
1022,C/C(=N\O)[C@@H](C)NCC(C)(C)CN[C@H](C)/C(C)=N/O,C13H28N4O2,272.3870,31403,0,,0,,,,,,,,,
1023,C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1.O=C(O)/C=C\C(=O)O,C24H28N2O4,408.4901 (292.4180+116.0722),28966,0,,0,,,,,,,,,
1024,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,C19H22F2N4O3,392.3998,3590,0,,0,,,,,,,,,
1025,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)C(=O)C[C@@H]13,C26H30O8,470.5116,25985,0,,0,,,,,,,,,
1026,C[C@@H]1CCN(C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NC[C@H](C)C3)[C@@H](C(=O)O)C1,C23H36N6O5S,508.6341,26467,0,,0,,,,,,,,,
1027,C[N+](C)(C)CCCCCC[N+](C)(C)C,C12H30N2,202.3789,25053,0,,0,,,,,,,,,
1028,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(=O)OC/C=C(\C)CCC=C(C)C,C27H44O2,400.6371,28562,0,,0,,,,,,,,,
1029,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,C21H25NO3,339.4281,3347,0,,0,,,,,,,,,
1030,C=CCN1CCc2nc(N)sc2CC1,C10H15N3S,209.3112,26321,0,,0,,,,,,,,,
1031,c1ccc(N2CCNCC2)cc1,C10H14N2,162.2316,31644,0,,0,,,,,,,,,
1032,C1COC(NC(C2CC2)C2CC2)=N1,C10H16N2O,180.2468,25194,0,,0,,,,,,,,,
1033,c1ccc2c(c1)Nc1ccccc1S2,C12H9NS,199.2716,1126,0,,0,,,,,,,,,
1034,c1ccc2[nH]ccc2c1,C8H7N,117.1479,737,0,,0,,,,,,,,,
1035,c1ccc2sc(SN3CCOCC3)nc2c1,C11H12N2OS2,252.3558,1096,0,,0,,,,,,,,,
1036,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,C14H8N2S4,332.4867,146,1,,1,,,,,,,,,
1037,C1CCC(NC2CCCCC2)CC1,C12H23N,181.3177,5018,0,,0,,,,,,,,,
1038,C1CN2CCC1CC2,C7H13N,111.1848,31396,0,,0,,,,,,,,,
1039,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,C15H26N2,234.3803,3591,0,,0,,,,,,,,,
1040,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,C23H29ClO4,404.9270,274,0,,1,,,,,,,,,
1041,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,C22H29FO4,376.4617,27435,0,,0,,,,,,,,,
1042,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,C21H32O3,332.4770,2576,0,,0,,,,,,,,,
1043,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,C22H32O3,344.4877,25371,0,,0,,,,,,,,,
1044,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,C22H36O2,332.5200,26503,0,,0,,,,,,,,,
1045,CC(=O)c1cc2ccccc2s1,C10H8OS,176.2349,31481,0,,0,,,,,,,,,
1046,CC(=O)C1CCOC1=O,C6H8O3,128.1259,24436,0,,0,,,,,,,,,
1047,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(C(C)=O)=CC[C@@H]32)C1,C23H32O3,356.4984,31646,0,,1,,,,,,,,,
1048,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,C24H27FN2O4,426.4806,28986,0,,0,,,,,,,,,
1049,COc1ccc2cc(CCC(C)=O)ccc2c1,C15H16O2,228.2863,25472,0,,1,,,,,,,,,
1050,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,C13H18N4O3,278.3070,3437,0,,0,,,,,,,,,
1051,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,C15H22N4O3,306.3602,25189,0,,0,,,,,,,,,
1052,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,C17H15N5O,305.3339,3748,0,,0,,,,,,,,,
1053,CC(=O)Nc1ccc(OCCOCCOc2ccc(NC(C)=O)cc2)cc1,C20H24N2O5,372.4150,26229,0,,0,,,,,,,,,
1054,COc1ccc2cccc(CCNC(C)=O)c2c1,C15H17NO2,243.3010,31431,0,,0,,,,,,,,,
1055,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,C13H16N2O2,232.2783,2421,0,,0,,,,,,,,,
1056,CC(=O)NO,C2H5NO2,75.0666,2546,0,,0,,,,,,,,,
1057,CC(=O)O.N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,C48H68N14O14S2,1129.2689 (60.0520+1069.2170),26864,0,,0,,,,,,,,,
1058,CC(=O)O[C@@H]1CC2C3CCc4cc(OC(=O)c5ccccc5)ccc4C3CCC2(C)[C@H]1OC(C)=O,C29H32O6,476.5608,31486,0,,0,,,,,,,,,
1059,CC(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,C28H38O19,678.5899,22423,0,,0,,,,,,,,,
1060,CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,C31H52O3,472.7428,1356,0,,0,,,,,,,,,
